Publication Number, first_applicant_citing2
"US10113163B2","HARVARD COLLEGE"
"US9999671B2","HARVARD COLLEGE"
"US10077453B2","HARVARD COLLEGE"
"US9840699B2","HARVARD COLLEGE"
"US9526784B2","HARVARD COLLEGE"
"US9737604B2","HARVARD COLLEGE"
"US9388430B2","HARVARD COLLEGE"
"US9834791B2","EDITAS MEDICINE INC"
"US9340799B2","HARVARD COLLEGE"
"US9340800B2","HARVARD COLLEGE"
"US9546384B2","Regeneron Pharmaceuticals Inc"
"US9888673B2","UNIVERSITY OF MINNESOTA"
"US10077445B2","UNIV CALIFORNIA"
"US10113167B2","UNIV CALIFORNIA"
"US10011849B1","Inscripta Inc."
"US9982279B1","Inscripta Inc."
"US9856497B2","STANFORD UNIVERSITY"
"US10000772B2","UNIV CALIFORNIA"
"US9359599B2","HARVARD COLLEGE"
"WO2017087708A1","BRIGHAM & WOMENS HOSPITAL"
"EP3219799A1","IMBA"
"US10017760B2","Inscripta Inc."
"US9322006B2","HARVARD COLLEGE"
"WO2017158153A1","IMBA"
"US10138476B2","General Hospital Corporation"
"US9228207B2","HARVARD COLLEGE"
"WO2016094867A1","BROAD INSTITUTE INC"
"US10093910B2","General Hospital Corporation"
"US10117911B2","Agenovir Corporation"
"US10119133B2","General Hospital Corporation"
"WO2016094872A1","BROAD INSTITUTE INC"
"WO2016094874A1","BROAD INSTITUTE INC"
"WO2016106244A1","BROAD INSTITUTE INC"
"WO2016205764A1","BROAD INSTITUTE INC"
"US10011850B2","General Hospital Corporation"
"US9567603B2","General Hospital Corporation"
"US9885033B2","General Hospital Corporation"
"US9926546B2","General Hospital Corporation"
"US9982278B2","UNIV OF COLORADO"
"WO2016086197A1","BRIGHAM & WOMENS HOSPITAL"
"WO2016100974A1","BROAD INSTITUTE INC"
"WO2016106236A1","BROAD INSTITUTE INC"
"WO2016108926A1","BROAD INSTITUTE INC"
"US9512446B1","General Hospital Corporation"
"US9567604B2","General Hospital Corporation"
"WO2018049025A2","BROAD INSTITUTE INC"
"US9902971B2","Regeneron Pharmaceuticals Inc"
"WO2017070605A1","BROAD INSTITUTE INC"
"WO2018054911A1","BAYER CROPSCIENCE NV"
"WO2018083606A1","NOVARTIS AG"
"US10106820B2","Regeneron Pharmaceuticals Inc"
"US9822370B2","HARVARD COLLEGE"
"US9834786B2","Regeneron Pharmaceuticals Inc"
"WO2016182893A1","BROAD INSTITUTE INC"
"WO2017069958A2","BRIGHAM & WOMENS HOSPITAL"
"WO2017074788A1","BROAD INSTITUTE INC"
"WO2017075451A1","BROAD INSTITUTE INC"
"WO2017075465A1","BROAD INSTITUTE INC"
"WO2017075478A2","BROAD INSTITUTE INC"
"WO2017219027A1","BROAD INSTITUTE INC"
"US10047358B1","Zymergen Inc"
"US10053688B2","Twist Bioscience"
"US10136649B2","NORTH CAROLINA STATE UNIVERSITY"
"US9909122B2","CARIBOU BIOSCIENCES INC"
"US9938521B2","EDITAS MEDICINE INC"
"WO2018013840A1","VERTEX PHARMACEUTICALS"
"WO2018067991A1","BRIGHAM & WOMENS HOSPITAL"
"US10066241B2","STANFORD UNIVERSITY"
"US9322037B2","HARVARD COLLEGE"
"US9745562B2","CARIBOU BIOSCIENCES INC"
"US9809814B1","CARIBOU BIOSCIENCES INC"
"WO2016049163A2","BROAD INSTITUTE INC"
"WO2016049251A1","BROAD INSTITUTE INC"
"WO2016069591A2","BROAD INSTITUTE INC"
"WO2016205728A1","MIT"
"WO2016205745A2","BROAD INSTITUTE INC"
"WO2017147196A1","MIT"
"WO2018035250A1","BROAD INSTITUTE INC"
"WO2018035364A1","BROAD INSTITUTE INC"
"US9487802B2","STANFORD UNIVERSITY"
"US9677090B2","CARIBOU BIOSCIENCES INC"
"US9725714B2","CARIBOU BIOSCIENCES INC"
"US9745368B2","UNIVERSITY OF PENNSYLVANIA"
"US9745600B2","CARIBOU BIOSCIENCES INC"
"US9777061B2","NOVARTIS AG"
"US9815901B2","NOVARTIS AG"
"US9822372B2","BROAD INSTITUTE INC"
"US9840713B2","BROAD INSTITUTE INC"
"US9926545B2","General Hospital Corporation"
"US9970026B2","CARIBOU BIOSCIENCES INC"
"US9970027B2","CARIBOU BIOSCIENCES INC"
"US9981239B2","Twist Bioscience"
"WO2017161325A1","MIT"
"WO2017184786A1","BROAD INSTITUTE INC"
"US10023853B1","CARIBOU BIOSCIENCES INC"
"US10125354B1","CARIBOU BIOSCIENCES INC"
"US10125361B2","CARIBOU BIOSCIENCES INC"
"US10138472B2","CARIBOU BIOSCIENCES INC"
"US9228208B2","Regeneron Pharmaceuticals Inc"
"US9234213B2","System Biosciences LLC"
"US9738897B2","Regeneron Pharmaceuticals Inc"
"US9738908B2","System Biosciences LLC"
"US9803194B2","CARIBOU BIOSCIENCES INC"
"US9816081B1","CARIBOU BIOSCIENCES INC"
"US9957490B1","CARIBOU BIOSCIENCES INC"
"US9970024B2","HARVARD COLLEGE"
"US9970030B2","CARIBOU BIOSCIENCES INC"
"WO2016094880A1","BROAD INSTITUTE INC"
"WO2016138488A2","BROAD INSTITUTE INC"
"WO2017075294A1","BROAD INSTITUTE INC"
"US9260752B1","CARIBOU BIOSCIENCES INC"
"US9410198B2","CARIBOU BIOSCIENCES INC"
"US9580701B2","PIONEER HI-BRED INTERNATIONAL INC"
"US9580715B2","Regeneron Pharmaceuticals Inc"
"US9580727B1","CARIBOU BIOSCIENCES INC"
"US9650617B2","PIONEER HI-BRED INTERNATIONAL INC"
"US9688972B2","PIONEER HI-BRED INTERNATIONAL INC"
"US9752132B2","General Hospital Corporation"
"US9771601B2","PIONEER HI-BRED INTERNATIONAL INC"
"US9816093B1","CARIBOU BIOSCIENCES INC"
"US9833761B2","Twist Bioscience"
"US9868962B2","PIONEER HI-BRED INTERNATIONAL INC"
"US9889423B2","Twist Bioscience"
"US9895673B2","Twist Bioscience"
"US9944912B2","General Hospital Corporation"
"WO2015089351A1","BROAD INSTITUTE INC"
"WO2015089354A1","BROAD INSTITUTE INC"
"WO2015089364A1","BROAD INSTITUTE INC"
"WO2015089419A2","BROAD INSTITUTE INC"
"WO2015089465A1","BROAD INSTITUTE INC"
"WO2015089486A2","BROAD INSTITUTE INC"
"WO2017019867A1","DANISCO US INC"
"WO2017106657A1","BROAD INSTITUTE INC"
"EP2825654B1","BROAD INSTITUTE INC"
"EP3009511A2","BROAD INSTITUTE INC"
"US10064398B2","Kymab Limited"
"US10100333B2","CARIBOU BIOSCIENCES INC"
"US10149462B2","Kymab Limited"
"US9783593B2","Kymab Limited"
"US9839894B2","Twist Bioscience"
"US9840702B2","INTEGRATED DNA TECHNOLOGIES INC"
"US9896516B2","Kymab Limited"
"US9924705B2","Kymab Limited"
"US9938357B2","Kymab Limited"
"US9938358B2","Kymab Limited"
"US9970029B1","CARIBOU BIOSCIENCES INC"
"WO2016184989A1","KWS SAAT"
"WO2016205613A1","BROAD INSTITUTE INC"
"WO2016205711A1","BROAD INSTITUTE INC"
"WO2016205749A1","BROAD INSTITUTE INC"
"WO2017149515A1","NOVARTIS AG"
"WO2017155714A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017189308A1","BROAD INSTITUTE INC"
"WO2017191210A1","NOVOZYMES A/S"
"WO2017201476A1","Regeneron Pharmaceuticals Inc"
"WO2018071362A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2018107028A1","INTELLIA THERAPEUTICS INC."
"WO2018183403A1","CARIBOU BIOSCIENCES INC"
"EP3272867A1","SIGMA-ALDRICH CO LLC"
"EP3310369A4","PREC BIOSCIENCES INC"
"US10006054B1","EDITAS MEDICINE INC"
"US10087247B2","Translate Bio Inc."
"US10130649B2","Translate Bio Inc."
"US20160346362A1","Agenovir Corporation"
"US9068179B1","HARVARD COLLEGE"
"US9555388B2","Twist Bioscience"
"US9677067B2","Twist Bioscience"
"US9713626B2","RaNA Therapeutics Inc."
"US9771600B2","CARIBOU BIOSCIENCES INC"
"US9850269B2","Translate Bio Inc."
"US9885058B2","Regeneron Pharmaceuticals Inc"
"US9932405B2","Innovative Cellular Therapeutics CO. LTD."
"US9957499B2","Translate Bio Inc."
"US9963716B2","Kymab Limited"
"US9963719B1","EDITAS MEDICINE INC"
"WO2015054507A1","PRONUTRIA INC."
"WO2016186946A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017015427A1","NOVARTIS AG"
"WO2017037304A3","DSM IP ASSETS B.V."
"WO2017040930A2","UNIVERSITY OF PENNSYLVANIA"
"WO2017048969A1","UNIV CALIFORNIA"
"WO2017066175A1","DU PONT"
"WO2017068377A1","SILENCE THERAPEUTICS"
"WO2017069829A3","COLUMBIA UNIVERSITY"
"WO2017074962A1","BRANDEIS UNIVERSITY"
"WO2017079026A1","DU PONT"
"WO2017091630A1","UNIV CALIFORNIA"
"WO2017127807A1","BROAD INSTITUTE INC"
"WO2017132239A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017147163A1","DANISCO US INC"
"WO2017155717A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017180711A1","EDITAS MEDICINE INC"
"WO2017184768A1","BROAD INSTITUTE INC"
"WO2017218185A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2018009822A1","OHIO STATE INNOVATION FOUNDATION"
"WO2018013918A2","NOVARTIS AG"
"WO2018023025A1","NOVARTIS AG"
"WO2018031950A1","CARIBOU BIOSCIENCES INC"
"WO2018035388A1","BROAD INSTITUTE INC"
"WO2018047183A1","YEDA RESEARCH AND DEVELOPMENT CO. LTD."
"WO2018064387A1","NOVARTIS AG"
"WO2018064921A1","Innovative Cellular Therapeutics CO. LTD."
"WO2018067599A1","DANISCO US INC"
"WO2018071572A1","STEMGENICS INC."
"WO2018085414A1","HARVARD COLLEGE"
"WO2018109101A1","WAGENINGEN UNIVERSITEIT"
"WO2018118585A1","Agenovir Corporation"
"WO2018119182A1","INTELLIA THERAPEUTICS INC."
"WO2018138385A1","KWS SAAT"
"WO2018183607A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2018183808A1","Agenovir Corporation"
"WO2018183878A1","PIONEER HI-BRED INTERNATIONAL INC"
"CN106191057A","Sun Yat-sen University"
"CN107043787A","Nanjing Medical University"
"EP2764103B1","BROAD INSTITUTE INC"
"EP2896697B1","BROAD INSTITUTE INC"
"EP2898075B1","BROAD INSTITUTE INC"
"EP2921557B1","BROAD INSTITUTE INC"
"EP2928496A1","SIGMA-ALDRICH CO LLC"
"EP2931897B1","BROAD INSTITUTE INC"
"EP3009511B1","BROAD INSTITUTE INC"
"EP3138910B1","SIGMA-ALDRICH CO LLC"
"EP3245232A4","UNIV CALIFORNIA"
"EP3294343A4","SEATTLE CHILDREN' S HOSPITAL"
"GB2557153A","UNIV CALIFORNIA"
"JP2016519652A",""
"US10040048B1","SYNTHEGO CORPORATION"
"US10047355B2","MIT"
"US10066232B2","UNIVERSITY OF ARKANSAS"
"US10081807B2","UNIVERSITY OF MASSACHUSETTS"
"US10113179B2","BENSON HILL BIOSYSTEMS INC."
"US10131885B2","Poseida Therapeutics Inc."
"US10144933B2","SHIN NIPPON BIOMEDICAL LABORATORIES LTD."
"US10149905B2","SHIN NIPPON BIOMEDICAL LABORATORIES LTD."
"US10150985B2","TAKARA BIO USA INC"
"US20140315985A1","CARIBOU BIOSCIENCES INC"
"US20150140664A1","HARVARD COLLEGE"
"US20160312198A1","General Hospital Corporation"
"US9163284B2","HARVARD COLLEGE"
"US9394368B2","NOVARTIS AG"
"US9573988B2","NOVARTIS AG"
"US9605019B2","WAVE LIFE SCIENCES"
"US9617547B2","SHIN NIPPON BIOMEDICAL LABORATORIES LTD."
"US9655351B2","Regeneron Pharmaceuticals Inc"
"US9695211B2","WAVE LIFE SCIENCES"
"US9701964B2","SNIPR TECHNOLOGIES LIMITED"
"US9708635B2","Regeneron Pharmaceuticals Inc"
"US9816080B2","HARVARD COLLEGE"
"US9885037B2","WAVE LIFE SCIENCES"
"US9896696B2","BENSON HILL BIOSYSTEMS INC."
"US9925248B2","TEMPLE UNIVERSITY"
"US9981020B2","TEMPLE UNIVERSITY"
"US9982257B2","WAVE LIFE SCIENCES"
"WO2015065964A1","BROAD INSTITUTE INC"
"WO2015184259A1","STANFORD UNIVERSITY"
"WO2016049258A3","BROAD INSTITUTE INC"
"WO2016098078A3","NOVARTIS AG"
"WO2016100951A3","INTEGRATED DNA TECHNOLOGIES INC"
"WO2016168595A1","BARRETT David Maxwell"
"WO2016184955A3","KWS SAAT"
"WO2016186745A1","GE HEALTHCARE DHARMACON INC."
"WO2016186953A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2016193945A2","NOVARTIS AG"
"WO2016196282A1","Agenovir Corporation"
"WO2016197132A1","PROTIVA BIOTHERAPEUTICS INC."
"WO2016201138A1","UNIV CALIFORNIA"
"WO2016201155A1","CARIBOU BIOSCIENCES INC"
"WO2016205759A1","BROAD INSTITUTE INC"
"WO2017015015A1","EMORY UNIVERSITY"
"WO2017049129A3","HARVARD COLLEGE"
"WO2017062855A1","MONSANTO TECHNOLOGY LLC"
"WO2017070032A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017070284A1","EDITAS MEDICINE INC"
"WO2017070633A3","HARVARD COLLEGE"
"WO2017078631A1","AGENCY FOR SCIENCE TECHNOLOGY AND RESEARCH"
"WO2017079724A1","THE JACKSON LABORATORY"
"WO2017100158A1","DANISCO US INC"
"WO2017106569A1","UNIV CALIFORNIA"
"WO2017115128A2","AVECTAS LIMITED"
"WO2017141173A3","BENSON HILL BIOSYSTEMS INC."
"WO2017144630A1","CELLECTIS"
"WO2017155715A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017165683A1","NOVARTIS AG"
"WO2017178590A1","UNIV LAUSANNE"
"WO2017180694A1","EDITAS MEDICINE INC"
"WO2017181119A2","NOVARTIS AG"
"WO2017191476A1","CRESCENDO BIOLOGICS LIMITED"
"WO2017205846A1","AADIGEN LLC"
"WO2017207589A1","KWS SAAT"
"WO2017210380A1","EXCISION BIOTHERAPEUTICS INC."
"WO2017210617A2","PORTER David L."
"WO2017216392A1","DSM IP ASSETS B.V."
"WO2017216771A3","GENESIS TECHNOLOGIES LIMITED"
"WO2017218573A1","UNIV CALIFORNIA"
"WO2017222773A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017222834A1","CITY OF HOPE"
"WO2017223127A1","HARVARD COLLEGE"
"WO2017223528A1","THE SCRIPPS RESEARCH INSTITUTE"
"WO2018002783A1","CRISPR THERAPEUTICS AG"
"WO2018005691A1","UNIV CALIFORNIA"
"WO2018005873A1","BROAD INSTITUTE INC"
"WO2018006881A1","LIFESEQ LIMITED CORPORATION"
"WO2018007871A1","CRISPR THERAPEUTICS AG"
"WO2018007980A1","CRISPR THERAPEUTICS AG"
"WO2018009534A1","UNIV JOHNS HOPKINS"
"WO2018013720A1","WASHINGTON UNIVERSITY"
"WO2018020323A3","CRISPR THERAPEUTICS AG"
"WO2018023014A1","Regeneron Pharmaceuticals Inc"
"WO2018026819A2","NOVARTIS AG"
"WO2018035387A1","BROAD INSTITUTE INC"
"WO2018035423A1","BLUEBIRD BIO INC."
"WO2018052919A1","MONSANTO TECHNOLOGY LLC"
"WO2018064600A1","Regeneron Pharmaceuticals Inc"
"WO2018069474A1","UNIVERSITA' DEGLI STUDI DI TRENTO"
"WO2018098671A1","China Agricultural University"
"WO2018099475A1","SHANGAHI INSTITUTES FOR BIOLOGICAL SCIENCES CHINESE ACADEMY OF SCIENCES"
"WO2018106693A1","EDITAS MEDICINE INC"
"WO2018106727A1","CARIBOU BIOSCIENCES INC"
"WO2018108272A1","WAGENINGEN UNIVERSITEIT"
"WO2018108338A1","WAGENINGEN UNIVERSITEIT"
"WO2018108339A1","WAGENINGEN UNIVERSITEIT"
"WO2018111947A1","INTEGRATED DNA TECHNOLOGIES INC"
"WO2018115973A2","AVECTAS LIMITED"
"WO2018126176A1","EDITAS MEDICINE INC"
"WO2018132936A1","Guangzhou Institute of Biomedicine And Health"
"WO2018152197A1","MIT"
"WO2018154412A1","CRISPR THERAPEUTICS AG"
"WO2018166943A1","DSM IP ASSETS B.V."
"WO2018172556A1","CUREVAC AG"
"CN104450785A","Fudan University"
"CN104504304A","Shenzhen Institutes of Advanced Technology"
"CN104504304B","Shenzhen Institutes of Advanced Technology"
"CN104611368A","Guangzhou Institute of Biomedicine And Health"
"CN104611368B","Guangzhou Institute of Biomedicine And Health"
"CN104928321A","Northwest Institute Of Plateau Biology Chinese Academy of Sciences"
"CN104928321B","Northwest Institute Of Plateau Biology Chinese Academy of Sciences"
"CN105131097A","Resarch Institute of Forestry Chinese Academy of Forestry"
"CN105131097B","Resarch Institute of Forestry Chinese Academy of Forestry"
"CN105177038A","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY CHINESE ACADEMY OF SCIENCES"
"CN105177038B","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY CHINESE ACADEMY OF SCIENCES"
"CN105177110A","Institute of Microbiology Chinese Academy of Sciences"
"CN105231650A","Guangzhou Wuxiang Digital Technology Co. Ltd."
"CN105231650B","Guangzhou Wuxiang Digital Technology Co. Ltd."
"CN105624194A","Agro-biological Gene Research Center Gdaas"
"CN105671083A","Anhui Kedgene Biotechnology Co. Ltd."
"CN105821116A","Yangzhou University"
"CN105861547A","HUANG Jie"
"CN106172237A","Guizhou University"
"CN106244591A","Suzhou GenePharma Co. Ltd."
"CN106434563A","Shenzhen Morecell Biomedical Technology Development Co. Ltd."
"CN106446600A","Tongji University"
"CN106544353A","General Hospital Of Ningxia Medical University"
"CN106637421A","Peking University"
"CN106725957A","CHENG Di-han"
"CN107099850A","Northeast Agricultural University"
"CN107099850B","Northeast Agricultural University"
"CN107201365A","Sichuan Fengxun Technology Development Co. Ltd."
"CN107201365B","Sichuan Fengxun Technology Development Co. Ltd."
"CN107475292A","Shandong Baifu Gene Technology Co. Ltd."
"CN107858430A","XUE Shou-hai"
"CN107937345A","Shandong Lansi Seeds Industry Co. Ltd."
"DE102015006335A1","KWS SAAT"
"DE102015014252A1","KWS SAAT"
"EP2264163B1","Regeneron Pharmaceuticals Inc"
"EP2784162B1","BROAD INSTITUTE INC"
"EP2787075B1","Regeneron Pharmaceuticals Inc"
"EP2800811A1","UNIV CALIFORNIA"
"EP2800811B1","UNIV CALIFORNIA"
"EP2840140B1","BROAD INSTITUTE INC"
"EP2931898B1","BROAD INSTITUTE INC"
"EP3009511A3","BROAD INSTITUTE INC"
"EP3054014A2","BASF Plant Science Company GmbH"
"EP3071698A4","HARVARD COLLEGE"
"EP3095870A1","KWS SAAT"
"EP3102199A4","UNIV JOHNS HOPKINS"
"EP3105325A4","TAKARA BIO USA INC"
"EP3111885A1","Braun GmbH"
"EP3126497B1","EDITAS MEDICINE INC"
"EP3138912A1","SIGMA-ALDRICH CO LLC"
"EP3155116A4","MIT"
"EP3159407A1","SILENCE THERAPEUTICS"
"EP3188604A4","PURECIRCLE SDN BHD"
"EP3237611A4","UNIVERSITY OF MASSACHUSETTS"
"EP3279321A4","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY CHINESE ACADEMY OF SCIENCES"
"EP3284749A4","THE UNIVERSITY OF TOKYO"
"EP3294873A4","CHILDREN'S MEDICAL CENTER CORPORATION"
"EP3307872A4","NORTH CAROLINA STATE UNIVERSITY"
"EP3315125A1","SILENCE THERAPEUTICS"
"EP3318638A1","CONSEJO SUPERIOR DE INVESTIG CIENTIFICAS"
"EP3342868A1","Systasy Bioscience GmbH"
"EP3381279A1","Regeneron Pharmaceuticals Inc"
"EP3392339A1","Rheinisch-WestfÃ¤lische Technische Hochschule (RWTH) Aachen"
"GB2550745A","PIONEER HI-BRED INTERNATIONAL INC"
"GB2552861A","SIGMA-ALDRICH CO LLC"
"GB2556648A","Oxford Genetics Limited"
"GB2559922A","HARVARD COLLEGE"
"JP06321757B2","OXFORD UNIVERSITY INNOVATION LIMITED"
"JP06395765B2","BROAD INSTITUTE INC"
"JP2016182140A","BROAD INSTITUTE INC"
"JP2016501532A",""
"JP2016512048A",""
"JP2016521555A",""
"JP2016521994A",""
"JP2016534125A",""
"JP2016536021A",""
"JP2017079735A","REPUBLIC OF KOREA NATIONAL FORENSIC SERVICE"
"JP2017205127A","BROAD INSTITUTE INC"
"JP2017534294A",""
"KR1710026B1","MOOGENE MEDI CO. LTD."
"KR1777367B1","UNIV YONSEI"
"KR1799829B1","KOREA RESEARCH INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY"
"KR1829885B1","INSTITUTE FOR BASIC SCIENCE"
"KR1847778B1","LEE JONG KYUN"
"KR1847779B1","LEE JONG KYUN"
"KR1868601B1","IUCF HYU"
"KR1896243B1","IUCF HYU"
"KR1897213B1","INSTITUTE FOR BASIC SCIENCE"
"US10022425B2","ModernaTX Inc."
"US10022455B2","Translate Bio Inc."
"US10030257B2","UNIVERSITY OF ARKANSAS"
"US10034925B2","ONKIMMUNE LIMITED"
"US10035825B2","UNIVERSITY OF MASSACHUSETTS"
"US10041044B2","UNIV BOSTON"
"US10052284B2","Translate Bio Inc."
